"dataset","No_of_Cities","tour_length","TC_mean","TC_vc","TC_skew","LMTL_mean","LMTL_vc","LMTL_skew","IPS_mean","IPS_vc","IPS_skew","STLM_mean","STLM_vc","STLM_skew","DBLM_mean","DBLM_vc","DBLM_skew","POELM_mean","POELM_vc","POELM_skew","IPC_mean","IPC_vc","IPC_skew","Ratio_UBLB","Pct_int","Pct_nonint","Min_nonint","Max_nonint","q25_nonint","q50_nonint","q75_nonint"
"a280.tsp",280,24642.69283,2579,0,NA,2579,0,NA,0.9836065574,0,NA,42.7,64.50458661,0.4774619035,0.9964285714,0,NA,0.003571428571,0,NA,"NaN",NA,NA,1.010579937,0.7852564103,0.2147435897,0.982759,0.017241,0.1149425,0.551724,0.931034
"bayg29.tsp",29,4625,1610,0,NA,1610,0,NA,NA,NA,NA,0.35,191.6629695,1.518041705,0.9655172414,0,NA,0.03448275862,0,NA,"-2.982142857",-641.8441993,-0.5834134662,1.032051282,1,0,-Inf,Inf,NA,NA,NA
"bays29.tsp",29,5752,2020,0,NA,2020,0,NA,NA,NA,NA,0.2,205.1956704,1.388918194,0.9655172414,0,NA,0.03448275862,0,NA,"-1.729166667",-670.8063277,-0.6382787413,1.016863831,1,0,-Inf,Inf,NA,NA,NA
"berlin52.tsp",52,22205.61769,7542,0,NA,7542,0,NA,422,0,NA,0.85,95.61502363,0.8117124524,0.9807692308,0,NA,0.01923076923,0,NA,"0",NA,NA,1,1,0,-Inf,Inf,NA,NA,NA
"bier127.tsp",127,393999.542,118282,0,NA,118282,0,NA,287.8489379,0.4662035708,-1.194731684,44.95,54.43374966,-0.05195320647,0.9921259843,0,NA,0.007874015748,0,NA,"-8.700998654",-1744.16254,2.718218883,1.015640496,1,0,-Inf,Inf,NA,NA,NA
"brazil58.tsp",58,129267,25395,0,NA,25395,0,NA,62,0,NA,1.45,112.9346711,1.074813503,0.9827586207,0,NA,0.01724137931,0,NA,"-39.57849325",-1024.812145,0.2267565886,1.104154438,1,0,-Inf,Inf,NA,NA,NA
"brg180.tsp",180,118860,1950,0,NA,1950,0,NA,2.008547009,0.1309759598,2.469187901,16.6,71.84922146,0.8765733389,0.9944444444,0,NA,0.005555555556,0,NA,"-0.7952853598",-352.4528667,-2.214508722,1.010362694,0.5843621399,0.4156378601,0.981132,0.018868,0.103774,0.301887,0.622642
"ch130.tsp",130,47800.77796,6110,0,NA,6110,0,NA,1.565217391,0,NA,20.35,106.6675116,1.759448493,0.9923076923,0,NA,0.007692307692,0,NA,"-0.3642611824",-1125.277329,2.197346329,1.028878442,1,0,-Inf,Inf,NA,NA,NA
"ch150.tsp",150,52812.15024,6539.25,0.001019065623,-1.069189724,6539.25,0.001019065623,-1.069189724,0.5166797488,1.115631631,1.069189724,33.2,87.09812327,0.6628392756,0.9933333333,0,NA,0.006666666667,0,NA,"NaN",NA,NA,1.014058252,1,0,-Inf,Inf,NA,NA,NA
"d1291.tsp",1291,150990.3957,51238.8,0.00216551351,0.8082314614,51238.8,0.00216551351,0.8082314614,15.44826316,0.189639851,0.8082314614,86.35,10.88498911,0.01924837497,0.9992254067,0,NA,0.0007745933385,0,NA,"6.564220584",889.5939675,5.060899905,1.036714762,1,0,-Inf,Inf,NA,NA,NA
"d15112.tsp",15112,112310829.6,1595296.6,0.002242097226,0.5669128205,1595296.6,0.002242097226,0.5669128205,77.98194949,0.2988440129,0.4313332878,98.6,2.091471568,-1.709058957,0.9999338274,0,NA,6.62e-05,0,NA,"d15112.tsp",15112,112310829.6,1595296.6,0.002242097226,0.5669128205,1595296.6,0.002242097226,0.5669128205,77.98194949,0.2988440129
"d1655.tsp",1655,206102.3728,62858.3,0.0009256952153,0.186122041,62858.3,0.0009256952153,0.186122041,10.83276047,0.2800761529,0.186122041,94.3,6.232031213,-0.9570849876,0.9993957704,0,NA,0.0006042296073,0,NA,"0.8983054038",1540.636804,4.616566496,1.023996227,0.5549374131,0.4450625869,0.999941,0.000141,0.004935,0.416235,0.99267975
"d18512.tsp",18512,89128838.15,653924.65,0.0004342750898,0.4773465051,653924.65,0.0004342750898,0.4773465051,28.55001039,0.3431222608,-0.1121425554,98.95,1.247474523,-1.665648231,0.999945981,0,NA,5.4e-05,0,NA,"d18512.tsp",18512,89128838.15,653924.65,0.0004342750898,0.4773465051,653924.65,0.0004342750898,0.4773465051,28.55001039,0.3431222608
"d198.tsp",198,22514.12084,15780.85,2.32e-05,-1.815216187,15780.85,2.32e-05,-1.815216187,2.674285714,0.428570939,-0.3321597557,49.7,48.55859008,0.3471857442,0.9949494949,0,NA,0.005050505051,0,NA,"-8.965779423",-1222.717061,-7.987789152,1.267673522,0.4927007299,0.5072992701,0.992498,0.007502,0.1795875,0.4,0.6819205
"d2103.tsp",2103,141253.0582,80801.8,8.15e-05,-0.8082314614,80801.8,8.15e-05,-0.8082314614,8.155882353,0.5103457127,0.8082314614,89.55,9.602582425,-0.4831648121,0.9995244888,0,NA,0.0004755111745,0,NA,"5.708348455",1077.860488,4.408673631,1.040111213,0.4927007299,0.5072992701,0.992498,0.007502,0.1795875,0.4,0.6819205
"d493.tsp",493,113552.0538,35126.95,0.0005331890292,-0.3330387981,35126.95,0.0005331890292,-0.3330387981,4.283003434,0.3015444243,-1.143234937,84.4,17.88812483,-0.8393388971,0.9979716024,0,NA,0.002028397566,0,NA,"0.2261476341",3781.146797,5.023532522,1.021470076,0.4711111111,0.5288888889,0.995968,0.004032,0.248158,0.47619,0.714943
"d657.tsp",657,232140.2389,49145.1,0.0006517318565,-0.8068168405,49145.1,0.0006517318565,-0.8068168405,7.911709877,0.2708305503,0.3770929471,85.65,17.37649092,-0.8876855631,0.99847793,0,NA,0.001522070015,0,NA,"-0.06526536706",-7217.361742,3.5899279,1.018331749,0.5112107623,0.4887892377,0.999948,0.000156,0.06383325,0.467743,0.890141
"dantzig42.tsp",42,699,699,0,NA,699,0,NA,NA,NA,NA,1.6,167.7050983,1.494438765,0.9761904762,0,NA,0.02380952381,0,NA,"0.5925926111",914.7232935,1.765968746,1.021183346,1,0,-Inf,Inf,NA,NA,NA
"eil101.tsp",101,2064.487022,629,0,NA,629,0,NA,8,0,NA,12.25,165.5029262,3.054862231,0.9900990099,0,NA,0.009900990099,0,NA,"-0.04012469491",-985.2760028,0.22009077,1.007205765,1,0,-Inf,Inf,NA,NA,NA
"eil51.tsp",51,1313.468344,426,0,NA,426,0,NA,0.37,0.5506405854,-0.8082314614,10.05,133.5541585,2.128168016,0.9803921569,0,NA,0.01960784314,0,NA,"-0.0233496",-4873.384872,1.604539926,1.016706444,0.5692307692,0.4307692308,0.75,0.25,0.25,0.5,0.75
"eil76.tsp",76,1974.71389,538,0,NA,538,0,NA,NA,NA,NA,4.6,112.0534006,1.309657113,0.9868421053,0,NA,0.01315789474,0,NA,"-0.05",-2133.072901,-0.1372420289,1.003731343,1,0,-Inf,Inf,NA,NA,NA
"fl1400.tsp",1400,172582.2885,20258.85,0.003845912681,0.6467413471,20258.85,0.003845912681,0.6467413471,7.164462352,0.8125321298,1.808279142,80.05,17.74768518,-0.3740882631,0.9992857143,0,NA,0.0007142857143,0,NA,"fl1400.tsp",1400,172582.2885,20258.85,0.003845912681,0.6467413471,20258.85,0.003845912681,0.6467413471,7.164462352,0.8125321298
"fl1577.tsp",1577,51065.31344,23340.4,0.01538940087,0.3755776063,23340.4,0.01538940087,0.3755776063,20.60989786,0.4420114963,0.368391594,90.6,10.72761138,-1.03816564,0.9993658846,0,NA,0.000634115409,0,NA,"8.639430102",682.8319604,4.48864329,1.160587556,1,0,-Inf,Inf,NA,NA,NA
"fl3795.tsp",3795,168840.5242,29596.75,0.0186483345,0.5543921307,29596.75,0.0186483345,0.5543921307,11.44962548,1.098838303,0.9088812644,86.3,16.36171614,-1.325025836,0.9997364954,0,NA,0.0002635046113,0,NA,"-0.1696199337",-3880.338415,2.018856126,1.07235305,1,0,-Inf,Inf,NA,NA,NA
"fl417.tsp",417,55387.19253,11885.1,0.002280493532,0.7401268002,11885.1,0.002280493532,0.7401268002,19.22056118,0.4609652682,-1.056305494,63.2,40.09987195,-0.2459882204,0.9976019185,0,NA,0.002398081535,0,NA,"-0.9034418494",-6818.176659,-3.191077805,1.144704463,0.6943319838,0.3056680162,0.988658,0.011364,0.2072235,0.5,0.7315715
"fnl4461.tsp",4461,5874475.878,184155.1,0.0004378216068,0.9759176356,184155.1,0.0004378216068,0.9759176356,11.81366254,0.1536573592,-0.5194284563,97.4,2.67314289,-0.724761404,0.999775835,0,NA,0.0002241649854,0,NA,"-0.05426933341",-6366.723779,3.003312054,1.010226505,0.545813315,0.454186685,0.999994,0.000127,0.095337,0.473622,0.881594
"fri26.tsp",26,1140,937,0,NA,937,0,NA,8,0,NA,0.75,155.2210271,1.414206356,0.9615384615,0,NA,0.03846153846,0,NA,"-0.2315705128",-1695.925094,0.8033712622,1.025444596,1,0,-Inf,Inf,NA,NA,NA
